# Scenario Kshort
# 1,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,61,2,3,4,5,6
# Xs, Xs, Xs, Xs, Xs, Xs, Ys, Ys, Ys, Ys, Ys, Ys, Vs, Vs, Vs, Vs, Vs, Vs, betafit, betafit, betafit, betafit, betafit, betafit, 
# 
150.0 150.0 150.0 150.0 150.0 150.0 45.0 45.0 45.0 45.0 45.0 45.0 42.7 38.3 51.4 48.1 40.4 42.7 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
175.0 175.0 175.0 175.0 175.0 175.0 45.0 45.0 45.0 45.0 45.0 45.0 3.2 26.1 38.7 32.9 26.1 25.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
200.0 200.0 200.0 200.0 200.0 200.0 45.0 45.0 45.0 45.0 45.0 45.0 17.4 14.8 23.5 19.0 18.0 17.4 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
225.0 225.0 225.0 225.0 225.0 225.0 45.0 45.0 45.0 45.0 45.0 45.0 12.3 11.0 14.3 12.3 11.5 11.6 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
250.0 250.0 250.0 250.0 250.0 250.0 45.0 45.0 45.0 45.0 45.0 45.0 9.5 8.8 11.1 10.0 9.0 2.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
275.0 275.0 275.0 275.0 275.0 275.0 45.0 45.0 45.0 45.0 45.0 45.0 7.8 7.0 8.6 7.5 7.0 7.3 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
300.0 300.0 300.0 300.0 300.0 300.0 45.0 45.0 45.0 45.0 45.0 45.0 6.5 5.8 7.1 6.7 6.2 6.2 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00 1.00e+00
5.0 5.0 5.0 5.0 5.0 5.0 55.0 55.0 55.0 55.0 55.0 55.0 100.0 100.0 100.0 100.0 100.0 100.0 2.52e+01 1.04e+01 1.75e+01 1.54e+01 1.29e+01 7.90e+00
10.0 10.0 10.0 10.0 10.0 10.0 55.0 55.0 55.0 55.0 55.0 55.0 200.0 200.0 200.0 200.0 200.0 200.0 1.00e+01 1.04e+01 1.01e+01 1.16e+01 9.55e+00 5.65e+00
15.0 15.0 15.0 15.0 15.0 15.0 55.0 55.0 55.0 55.0 55.0 55.0 300.0 300.0 300.0 300.0 300.0 300.0 1.34e+01 9.89e+00 1.22e+01 1.45e+01 1.26e+01 6.56e+00
